old_name,new_name,tooltip,field_type,page_index,rect_llx,rect_lly,rect_urx,rect_ury
f2_24[0],box12c_code,Box 12c: Code,/Tx,2,462.8,540.0,488.6,551.999
f2_24[0],box12c_code,Box 12c: Code,/Tx,3,462.8,540.0,488.6,551.999
f2_24[0],box12c_code,Box 12c: Code,/Tx,5,462.8,540.0,488.6,551.999
f2_24[0],box12c_code,Box 12c: Code,/Tx,7,462.8,540.0,488.6,551.999
f2_24[0],box12c_code,Box 12c: Code,/Tx,9,462.8,540.0,488.6,551.999
f2_25[0],box12c_amount,Box 12c: Amount,/Tx,2,490.6,540.0,574.0,551.999
f2_25[0],box12c_amount,Box 12c: Amount,/Tx,3,490.6,540.0,574.0,551.999
f2_25[0],box12c_amount,Box 12c: Amount,/Tx,5,490.6,540.0,574.0,551.999
f2_25[0],box12c_amount,Box 12c: Amount,/Tx,7,490.6,540.0,574.0,551.999
f2_25[0],box12c_amount,Box 12c: Amount,/Tx,9,490.6,540.0,574.0,551.999
f2_26[0],box12d_code,Box 12d: Code,/Tx,2,462.8,516.002,488.6,528.001
f2_26[0],box12d_code,Box 12d: Code,/Tx,3,462.8,516.002,488.6,528.001
f2_26[0],box12d_code,Box 12d: Code,/Tx,5,462.8,516.002,488.6,528.001
f2_26[0],box12d_code,Box 12d: Code,/Tx,7,462.8,516.002,488.6,528.001
f2_26[0],box12d_code,Box 12d: Code,/Tx,9,462.8,516.002,488.6,528.001
f2_27[0],box12d_amount,Box 12d: Amount,/Tx,2,490.6,516.002,574.0,528.001
f2_27[0],box12d_amount,Box 12d: Amount,/Tx,3,490.6,516.002,574.0,528.001
f2_27[0],box12d_amount,Box 12d: Amount,/Tx,5,490.6,516.002,574.0,528.001
f2_27[0],box12d_amount,Box 12d: Amount,/Tx,7,490.6,516.002,574.0,528.001
f2_27[0],box12d_amount,Box 12d: Amount,/Tx,9,490.6,516.002,574.0,528.001
c2_2[0],box13_statutory_employee,Box 13: Statutory employee,/Btn,2,348.6,565.699,358.6,575.699
c2_2[0],box13_statutory_employee,Box 13: Statutory employee,/Btn,3,348.6,565.699,358.6,575.699
c2_2[0],box13_statutory_employee,Box 13: Statutory employee,/Btn,5,348.6,565.699,358.6,575.699
c2_2[0],box13_statutory_employee,Box 13: Statutory employee,/Btn,7,348.6,565.699,358.6,575.699
c2_2[0],box13_statutory_employee,Box 13: Statutory employee,/Btn,9,348.6,565.699,358.6,575.699
c2_3[0],box13_retirement_plan,Box 13: Retirement plan,/Btn,2,384.6,565.699,394.6,575.699
c2_3[0],box13_retirement_plan,Box 13: Retirement plan,/Btn,3,384.6,565.699,394.6,575.699
c2_3[0],box13_retirement_plan,Box 13: Retirement plan,/Btn,5,384.6,565.699,394.6,575.699
c2_3[0],box13_retirement_plan,Box 13: Retirement plan,/Btn,7,384.6,565.699,394.6,575.699
c2_3[0],box13_retirement_plan,Box 13: Retirement plan,/Btn,9,384.6,565.699,394.6,575.699
c2_4[0],box13_third_party_sick_pay,Box 13: Third-party sick pay,/Btn,2,420.6,565.699,430.6,575.699
c2_4[0],box13_third_party_sick_pay,Box 13: Third-party sick pay,/Btn,3,420.6,565.699,430.6,575.699
c2_4[0],box13_third_party_sick_pay,Box 13: Third-party sick pay,/Btn,5,420.6,565.699,430.6,575.699
c2_4[0],box13_third_party_sick_pay,Box 13: Third-party sick pay,/Btn,7,420.6,565.699,430.6,575.699
c2_4[0],box13_third_party_sick_pay,Box 13: Third-party sick pay,/Btn,9,420.6,565.699,430.6,575.699
f2_28[0],box14_other,Box 14: Other,/Tx,2,332.2,504.0,452.6,551.999
